"id","nombre_publicacion","descripcion"
1076,Módulo 1 (PRUEBA-Negociator),editado1
1077,Condiciones de Cursado (MKT-04-UNICA - E-mail Marketing),
1078,"Introducción a la Asignatura (GECH-02-UNICA - Búsqueda, Selección e Incorporación de Personas a la Organización)",
1079,Condiciones de Cursado (GECH-01-UNICA - Alineación Estratégica de Recursos Humanos),
1080,Introducción a la asignatura,
1081,Introducción a la Asignatura (GMBA.A2-UNICA - Fundamentos del Coaching Ejecutivo),
1082,Introducción Asignatura (GMBA.A3-UNICA - Liderazgo Gerencial y Personal),
1083,Introducción Asignatura (GMBA.A4-UNICA - Negociacion y Resolucion de Conflictos),
1084,Condiciones de Cursado (GECH-04-UNICA - Herramientas de Control Estratégico a través de la Gestión de Recursos Humanos),
1085,Introducción Asignatura (GMBA.A6-UNICA - Finanzas y Economía),
1086,Introducción a la Asignatura (GECH-04 V2-UNICA - Herramientas de Control Estratégico a través de la Gestión de Recursos Humanos),
1087,Introducción Asignatura (GMBA.A8-UNICA - Marketing y Ventas),
1088,Inicio de asignatura (GMBA.A8 V2-UNICA - Marketing y Ventas),
1089,Introducción a la Asignatura,Introducción a la Asignatura. Modelo de transferencia y transformación Pericles. Condiciones de cursado.
1090,Introducción a la Asignatura (MKT-01-V2 UNICA - Ecosistema del Marketing Digital y Customer Journey),
1091,Introducción a la Asignatura (GMBA.A1 V2-UNICA - Dirección de Equipos de Alto Rendimiento),
1092,Introducción asignatura (GMBA.A5 V2-UNICA - Estrategia Corporativa y Desarrollo de Negocios),
1093,Introducción a la Asignatura (GMBA.A7 V2-UNICA - Gestion Organizacional y RRHH),
1094,Introducción a la Asignatura (GMBA.A3 V2-UNICA - Liderazgo Gerencial y Personal),
1095,Inicio de asignatura,
1096,Introducción a la Asignatura (MKDV-03-UNICA - Construcción de Equipos Comerciales de Alta Performance),
1097,Introducción a la Asignatura (MKDV-02-UNICA - Conducción de Equipos Comerciales),
1098,Bloque inicial,
1099,Introducción a la Asignatura (DBM-09-UNICA - Digital Operations Management),
1100,Introducción a la asignatura (MKDV-04-UNICA - Orientación al Cliente),
1101,Introducción a la Asignatura (DBM-10-UNICA - Big Data and Analytics),
1102,Inicio de asignatura (MKDV-01-UNICA - Marketing y Dirección Comercial Eficiente),
1103,Inicio de asignatura (MKDV-05-UNICA - Procesos para Crear y Sostener Valor),
1104,Introducción a la Asignatura (MKDV-06-UNICA - Experiencia del Servicio),
1105,Introducción Asignatura (GEN-01-UNICA - Estrategia compartida y cultura consolidada),
1106,Inicio de asignatura (GEN-02-UNICA - La postura define la intención de la estrategia),
1107,Inicio de asignatura (GEN-03-UNICA - Marketing y Oportunidades),
1108,Bienvenido (GEN-04-UNICA - Relacionamiento Empresa - Mercado),
1109,Introducción a la Asignatura (TR-02-UNICA - Habilidades Gerenciales),
1110,"Inicio de asignatura (PM-01-UNICA - Marco y Procesos, Integración y Alcance)",
1111,"Inicio de Asignatura (PM-03-UNICA - Recursos, Comunicaciones e Interesados)",
1112,"Introducción a la Asignatura (PM-04-UNICA - Adquisiciones, Riesgos y Responsabilidad Profesional)",
1113,Introducción a la Asignatura (PM-05-UNICA - Simulador de los exámenes de certificación PMP/CAPM),
1114,Introducción a la Asignatura (FNZ-03-UNICA - Administración Estratégica Financiera),
1115,Introducción a la Asignatura (FNZ-04-UNICA - Finanzas Corporativas),
1116,"Introducción a la Asignatura (FNZ-05-UNICA - Análisis, Evaluación y Retorno de la Inversión)",
1117,Introducción a la Asignatura (FNZ-06-UNICA - Costos y Planificación Financiera),
1118,Inicio de asignatura (AP-01-UNICA - Project Management),
1119,Inicio de asignatura (AP-02-UNICA - Formulación y Evaluación de Proyectos),
1120,Bienvenido (AP-03-UNICA - Gestión Ágil de Proyectos),
1121,Inicio de asignatura (GMBA.A8 V3-UNICA - Marketing y Ventas),
1122,Inicio de asignatura (MKT-V3 UNICA - Ecosistema de Marketing Digital y Customer Journey),
1123,Introducción asignatura (GMBA.A5 V3-UNICA - Estrategia Corporativa y Desarrollo de Negocios),
1124,Introducción a la Asignatura (MKT-V2 UNICA - Universo Web),
1125,Introducción a la Asignatura (MKT-03-V2 UNICA - Social Media Organic),
1126,Introducción a la Asignatura (MKT-V2 UNICA - E-mail Marketing),
1127,Introducción a la Asignatura (MKT-05 SEO-SEM-V2 UNICA),
1128,Inicio de asignatura (DBM-06-UNICA V2- Digital Marketing),
1129,Introducción a la Asignatura (PM-05-UNICA V2 - Simulador de los exámenes de certificación PMP/CAPM),
1130,Introducción a la Asignatura (DBM-04-UNICA Data Security y Compliance. Marco Legal y Ético),
1131,Bloque inicial,
1132,"Introducción a la Asignatura (FNZ-05-UNICA V2 - Análisis, Evaluación y Retorno de la Inversión II)",
1133,Introducción a la Asignatura (DBM-11-UNICA Finanzas Digitales Avanzadas),
1134,Bienvenido (BC-05-UNICA Neo-Liderazgo. El Nuevo Lider-Coach),
1135,Bienvenido (OP-04-UNICA Foco en el Cliente Integración de Procesos),
1136,Inicio de asignatura (FNZ-07-UNICA - Valuación y Creación de Valor V2),
1137,Introducción a la Asignatura (DBM-12-UNICA Advanced Digital Operations Management),
1138,Inicio de Asignatura (MKT-15-UNICA Analítica Web),
1139,Introducción a la Asignatura (MKT-10-UNICA E-Commerce),
1140,"Bienvenido (BC-01-UNICA Liderazgo, Coaching y Mentoring V1)",
1141,Introducción a la asignatura,
1142,Introducción a la Asignatura,
1143,Bienvenido (BC-13-UNICA Agregando valor a través de la gente),
1144,Bienvenido (FNZ-08-UNI Mercado de Capitales 2019),
1145,Bienvenido,
1146,Bienvenido (BC-06-UNICA Proceso de Coaching. Estructura y pasos del modelo),
1147,Introducción a la Asignatura (OP-05-UNICA Estrategia de Operaciones),
1148,Introducción a la asignatura,
1149,Inicio de asignatura (MKT-14-UNICA Marketing Automation),
1150,Introducción a la Asignatura (MKT-09-UNICA Content Marketing),
1151,Bienvenido,
1152,Inicio de Asignatura (MKT-06-UNICA Economía digital y modelos de negocios on line),
1153,Introducción Asignatura (MKT-11-UNICA Social Media Ads),
1154,Bienvenido (BC-03-UNICA Resignificación del presente),
1155,Bienvenido (BC-09-UNICA Herramientas de Diagnóstico. Claves para el plan de acción),
1156,Introducción a la asignatura,
1157,Bienvenido (TR-01-UNICA Etica Empresarial y Responsabilidad Social Corporativa),
1158,Bienvenido (BC-08-UNICA Coaching Empresarial. Foco en el Desarrollo del Talento),
1159,Introducción Asignatura (BC-07-UNICA Dinámica de la sesión. Habilidades del Coach Ejecutivo),
